着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,厩舎,馬体重,race_id,日付,距離,馬場種類,馬場状態
1,6,12,エスプリアラジン,牡4,56.0,横川怜央,1:15.5,,3,5.9,38.3,大井澤佳宏,513(+3),202244012401,2022/01/24,1200,ダ,良
2,2,4,カメットテソーロ,牡6,56.0,的場文男,1:15.5,クビ,1,2.4,38.9,大井渡部則夫,543(-2),202244012401,2022/01/24,1200,ダ,良
3,3,6,センジュエース,牡6,56.0,藤田凌,1:15.7,1.1/4,4,9.4,38.5,大井佐々木洋,452(0),202244012401,2022/01/24,1200,ダ,良
4,3,5,ファイアリーラヴ,牝4,54.0,安藤洋一,1:15.9,3/4,2,4.0,38.4,大井藤田輝信,474(-8),202244012401,2022/01/24,1200,ダ,良
5,6,11,ブルーフェアリー,牝6,50.0,★神尾香澄,1:16.0,クビ,10,55.6,39.4,大井高岩孝敏,435(+4),202244012401,2022/01/24,1200,ダ,良
6,1,1,モスグリーン,牝4,53.0,☆仲原大生,1:16.2,1,8,20.4,39.3,大井柏木一夫,457(-1),202244012401,2022/01/24,1200,ダ,良
7,8,15,ミスエメラルティエ,牝5,54.0,本田正重,1:16.2,ハナ,9,26.7,38.8,大井松浦裕之,481(-13),202244012401,2022/01/24,1200,ダ,良
8,7,14,アンペルマン,牡7,56.0,西啓太,1:16.2,クビ,6,18.1,39.5,大井堀千亜樹,508(0),202244012401,2022/01/24,1200,ダ,良
9,4,7,シスターダダ,牝5,54.0,江里口裕,1:16.3,1/2,12,118.2,39.2,大井久保杉隆,484(-3),202244012401,2022/01/24,1200,ダ,良
10,5,9,ハナビチャン,牝4,54.0,石川駿介,1:16.8,2.1/2,11,100.2,39.4,大井秋吉和美,458(+2),202244012401,2022/01/24,1200,ダ,良
11,4,8,ブローニュ,牡5,56.0,遠藤健太,1:17.2,2,16,328.1,39.3,大井佐々木忠,497(+3),202244012401,2022/01/24,1200,ダ,良
12,7,13,シスコキッド,牝5,54.0,和田譲治,1:17.4,1.1/4,14,214.1,39.4,大井的場直之,427(+14),202244012401,2022/01/24,1200,ダ,良
13,2,3,アベノカイシンゲキ,牡4,56.0,達城龍次,1:17.5,3/4,15,286.5,39.6,大井櫻木英喜,468(+2),202244012401,2022/01/24,1200,ダ,良
14,5,10,ハロートゥーユー,牝4,53.0,☆篠谷葵,1:17.7,3/4,7,18.4,40.0,大井朝倉実,475(-3),202244012401,2022/01/24,1200,ダ,良
15,1,2,ピーチライヒ,牝5,54.0,町田直希,1:17.8,3/4,13,127.9,40.2,大井高岩孝敏,434(+8),202244012401,2022/01/24,1200,ダ,良
16,8,16,リコーハンリー,牡5,56.0,本橋孝太,1:18.9,5,5,13.6,42.0,大井蛯名雄太,493(+4),202244012401,2022/01/24,1200,ダ,良
1,8,13,サンクスグランパ,セ4,56.0,瀬川将輝,1:31.0,,6,21.9,39.7,大井大宮和也,474(-5),202244012402,2022/01/24,1400,ダ,良
2,2,2,ホウヨウノキセキ,牝6,54.0,遠藤健太,1:31.4,2,2,14.5,41.0,大井遠藤茂,447(+4),202244012402,2022/01/24,1400,ダ,良
3,7,11,レヴィ,牝5,54.0,藤江渉,1:31.9,2.1/2,5,20.2,40.1,大井佐々木忠,459(0),202244012402,2022/01/24,1400,ダ,良
4,6,9,ムサシルピナス,牡4,56.0,石崎駿,1:31.9,アタマ,13,369.4,39.4,大井栗田泰昌,483(+4),202244012402,2022/01/24,1400,ダ,良
5,6,10,オープンリーチ,牡4,56.0,千田洋,1:31.9,ハナ,9,45.8,39.7,大井渡辺和雄,442(-8),202244012402,2022/01/24,1400,ダ,良
6,8,14,ラバテラフルーヴ,牝6,53.0,☆仲原大生,1:32.5,3,4,16.9,40.0,大井朝倉実,463(+3),202244012402,2022/01/24,1400,ダ,良
7,5,8,マロンシャンティ,牝4,51.0,▲菅原涼太,1:32.8,1.1/2,11,298.9,41.6,大井小野寺晋,452(0),202244012402,2022/01/24,1400,ダ,良
8,4,6,バジガクシェリール,牝4,54.0,高野誠毅,1:33.0,1,12,357.4,40.6,大井久保田信,360(0),202244012402,2022/01/24,1400,ダ,良
9,7,12,ララヴァシュラン,牡4,56.0,的場文男,1:33.0,クビ,7,22.5,41.1,高野毅,480(+5),202244012402,2022/01/24,1400,ダ,良
10,1,1,ブラウンフェラン,セ4,56.0,張田昂,1:33.4,2,10,118.2,43.2,大井阪本一栄,474(-2),202244012402,2022/01/24,1400,ダ,良
11,3,4,ロケットマン,牡4,56.0,江里口裕,1:33.7,1.1/2,8,37.7,43.5,大井小野寺晋,485(+2),202244012402,2022/01/24,1400,ダ,良
12,5,7,サンアポロン,牡5,56.0,藤本現暉,1:34.0,1.3/4,3,14.6,42.6,大井吉井竜一,520(+1),202244012402,2022/01/24,1400,ダ,良
中止,3,3,オンヴァガニエ,牡4,56.0,笹川翼,,,1,1.1,,大井中道啓二,542(+2),202244012402,2022/01/24,1400,ダ,良
取消,4,5,リョウランサクセス,牡4,56.0,松崎正泰,,,,,,大井朝倉実,,202244012402,2022/01/24,1400,ダ,良
1,3,3,ラリュヌブランシュ,牝3,54.0,矢野貴之,1:29.6,,1,1.1,38.7,大井森下淳平,459(前計不),202244012403,2022/01/24,1400,ダ,良
2,2,2,エスプリウッディ,牡3,56.0,森泰斗,1:30.1,2.1/2,2,4.6,39.5,大井澤佳宏,505(前計不),202244012403,2022/01/24,1400,ダ,良
3,4,4,エアロストリーム,牡3,56.0,和田譲治,1:31.6,7,3,8.9,40.8,大井的場直之,536(前計不),202244012403,2022/01/24,1400,ダ,良
4,5,5,ヌーヴォレーヴ,牝3,54.0,千田洋,1:31.7,3/4,6,39.6,40.6,大井渡辺和雄,423(前計不),202244012403,2022/01/24,1400,ダ,良
5,1,1,バーロット,牡3,56.0,安藤洋一,1:31.7,クビ,4,28.0,40.6,大井栗田裕光,454(前計不),202244012403,2022/01/24,1400,ダ,良
中止,6,6,マルカンハルカゼ,牡3,56.0,藤田凌,,,5,39.0,,大井佐々木洋,470,202244012403,2022/01/24,1400,ダ,良
