着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,厩舎,馬体重,race_id,日付,距離,馬場種類,馬場状態
1,4,7,ファルダ,牝4,54.0,江里口裕,1:16.4,,1,2.2,39.9,大井鷹見浩,486(+2),202444012101,2024/01/21,1200,ダ,不
2,1,1,ニチリン,牝4,54.0,中村尚平,1:16.9,2.1/2,5,12.6,40.4,大井栗田裕光,509(-3),202444012101,2024/01/21,1200,ダ,不
3,3,6,ヤマトホープシップ,牝7,54.0,仲原大生,1:17.3,2,4,10.3,38.9,大井久保杉隆,464(+4),202444012101,2024/01/21,1200,ダ,不
4,7,14,ジンバブジ,牝4,54.0,石川駿介,1:17.7,2,11,70.7,40.0,大井庄子昭彦,513(+2),202444012101,2024/01/21,1200,ダ,不
5,3,5,ベジタブルストア,セ6,56.0,達城龍次,1:17.8,クビ,3,5.7,40.9,大井庄子昭彦,466(+6),202444012101,2024/01/21,1200,ダ,不
6,7,13,ディアマンエクラ,牝5,54.0,森泰斗,1:18.0,3/4,2,3.8,41.2,大井橋本和馬,450(-13),202444012101,2024/01/21,1200,ダ,不
7,5,10,シャザロイン,牝4,54.0,千田洋,1:18.5,2.1/2,14,166.9,40.4,大井赤嶺本浩,417(-5),202444012101,2024/01/21,1200,ダ,不
8,8,16,エンタイトルド,牝6,54.0,岡村健司,1:18.5,ハナ,9,40.9,39.7,大井赤嶺本浩,418(-4),202444012101,2024/01/21,1200,ダ,不
9,8,15,ストロングフレイヤ,牝4,54.0,西啓太,1:18.7,1,10,56.9,39.5,大井蛯名雄太,428(-7),202444012101,2024/01/21,1200,ダ,不
10,1,2,ミワテツニゴー,牡4,56.0,栗原大河,1:18.8,1/2,13,138.1,41.5,大井櫻木英喜,402(-1),202444012101,2024/01/21,1200,ダ,不
11,2,4,ルレット,牝4,51.0,▲大木天翔,1:19.1,1.3/4,12,88.6,40.3,大井小野寺晋,460(-6),202444012101,2024/01/21,1200,ダ,不
12,4,8,ユーリエンペラー,セ4,55.0,☆菅原涼太,1:19.2,3/4,7,25.6,40.4,大井佐宗応和,491(+18),202444012101,2024/01/21,1200,ダ,不
13,6,11,ヴァイスネージュ,牡4,56.0,矢野貴之,1:19.7,2.1/2,6,23.5,41.6,大井月岡健二,463(+3),202444012101,2024/01/21,1200,ダ,不
14,5,9,マイヴェリテ,セ4,54.0,△及川烈,1:21.1,7,15,220.1,40.7,大井渡部則夫,423(+1),202444012101,2024/01/21,1200,ダ,不
15,2,3,フランコニア,牝4,51.0,▲田中洸多,1:21.2,クビ,16,241.3,41.2,大井納谷和玖,458(0),202444012101,2024/01/21,1200,ダ,不
16,6,12,マーカンエミーオ,牡4,56.0,山本聡紀,1:22.7,7,8,30.3,43.9,大井嶋田幸晴,490(-3),202444012101,2024/01/21,1200,ダ,不
1,1,1,アタゴテンジン,牡3,56.0,笹川翼,1:16.7,,1,2.6,38.7,大井村上頼章,476(前計不),202444012102,2024/01/21,1200,ダ,不
2,7,8,ベーリングキララ,牝3,54.0,藤田凌,1:16.7,クビ,5,8.6,38.6,大井朝倉実,478(前計不),202444012102,2024/01/21,1200,ダ,不
3,3,3,マヒナブラヴォー,牡3,56.0,西啓太,1:17.5,4,4,7.9,37.8,大井福永敏,491(前計不),202444012102,2024/01/21,1200,ダ,不
4,5,5,マヌーバー,牡3,56.0,千田洋,1:19.0,7,7,11.7,40.5,大井鷹見浩,498(前計不),202444012102,2024/01/21,1200,ダ,不
5,2,2,コンチスター,牡3,56.0,和田譲治,1:19.3,1.1/2,8,31.2,40.8,大井栗田裕光,517(前計不),202444012102,2024/01/21,1200,ダ,不
6,6,6,ツムグ,牡3,56.0,矢野貴之,1:19.4,1/2,2,4.0,40.5,大井渡辺和雄,476(前計不),202444012102,2024/01/21,1200,ダ,不
7,8,9,サニーホーク,牡3,56.0,藤本現暉,1:19.5,クビ,3,6.5,41.0,大井朝倉実,539(前計不),202444012102,2024/01/21,1200,ダ,不
8,7,7,ビッグスタールーフ,牡3,56.0,岡村健司,1:21.3,9,9,47.0,41.8,大井井上弘之,465(前計不),202444012102,2024/01/21,1200,ダ,不
9,4,4,ホクソウカリーニョ,牝3,54.0,江里口裕,1:25.9,大,10,144.4,46.6,大井嶋田幸晴,382(前計不),202444012102,2024/01/21,1200,ダ,不
中止,8,10,プロミスザスター,牡3,53.0,▲大木天翔,,,6,10.8,,大井辻野豊,521,202444012102,2024/01/21,1200,ダ,不
1,5,5,ステーレンナフト,牡3,56.0,和田譲治,1:31.4,,1,1.7,40.1,大井的場直之,475(-1),202444012103,2024/01/21,1400,ダ,不
2,8,8,ヨシュア,牡3,56.0,西啓太,1:32.5,5,2,3.1,40.5,大井渡辺和雄,480(-2),202444012103,2024/01/21,1400,ダ,不
3,3,3,コネクトハーツ,牡3,53.0,▲谷内貫太,1:32.5,クビ,8,54.7,39.9,大井鷹見浩,438(+13),202444012103,2024/01/21,1400,ダ,不
4,7,7,マキズシトイナ,牡3,56.0,野畑凌,1:33.9,7,3,9.2,42.5,大井高橋清顕,477(-2),202444012103,2024/01/21,1400,ダ,不
5,1,1,ゼネラルチーター,牡3,56.0,安藤洋一,1:34.4,2.1/2,7,54.1,40.6,大井須田和伸,445(+12),202444012103,2024/01/21,1400,ダ,不
6,2,2,エイプリルストーム,牡3,56.0,栗原大河,1:34.5,クビ,6,22.7,41.1,大井佐宗応和,441(+2),202444012103,2024/01/21,1400,ダ,不
7,4,4,カレンバローズ,牝3,54.0,藤本現暉,1:34.9,2,4,9.3,41.3,大井村上頼章,474(-10),202444012103,2024/01/21,1400,ダ,不
8,6,6,プレストスナイパー,牡3,56.0,達城龍次,1:36.1,6,5,17.5,43.1,大井荒井朋弘,502(+12),202444012103,2024/01/21,1400,ダ,不
1,5,7,ボクノオクリモノ,牡3,56.0,矢野貴之,1:18.0,,1,1.4,40.3,大井市村誠,462(+1),202444012104,2024/01/21,1200,ダ,不
2,8,14,ディフィラリー,牡3,56.0,安藤洋一,1:19.9,9,3,11.9,42.3,大井堀江仁,516(-9),202444012104,2024/01/21,1200,ダ,不
3,4,5,カゼノヨウニ,牡3,53.0,▲田中洸多,1:20.0,1/2,4,15.4,41.7,大井荒井朋弘,495(+1),202444012104,2024/01/21,1200,ダ,不
4,3,4,ランウェイクイーン,牝3,54.0,青柳正義,1:20.3,1.1/2,7,29.0,42.3,大井荒井朋弘,452(+2),202444012104,2024/01/21,1200,ダ,不
5,2,2,スーパーキング,牡3,56.0,栗原大河,1:20.4,1/2,6,28.6,40.8,大井堀江仁,492(-6),202444012104,2024/01/21,1200,ダ,不
6,7,12,キョウエイアンバー,牝3,54.0,藤本現暉,1:20.8,2,2,4.0,42.2,大井阪本一栄,459(+16),202444012104,2024/01/21,1200,ダ,不
7,6,9,ユウユウカグヤ,牝3,51.0,▲木澤奨,1:21.1,1.3/4,13,229.0,42.7,大井大宮和也,408(-5),202444012104,2024/01/21,1200,ダ,不
8,4,6,ピローテス,牝3,54.0,和田譲治,1:21.3,1,8,58.0,41.6,大井宗形竹見,503(-3),202444012104,2024/01/21,1200,ダ,不
9,8,13,アバンテジュニア,牡3,56.0,千田洋,1:21.6,1.1/2,12,121.4,41.6,大井鷹見浩,417(0),202444012104,2024/01/21,1200,ダ,不
10,3,3,ゴルドヴァッサー,牝3,54.0,石川駿介,1:21.7,1/2,11,103.3,43.1,大井佐々木洋,404(+3),202444012104,2024/01/21,1200,ダ,不
11,5,8,ハンガンノキセキ,牡3,55.0,☆菅原涼太,1:21.8,クビ,10,80.4,43.8,大井佐宗応和,446(-12),202444012104,2024/01/21,1200,ダ,不
12,6,10,ゼネラルソクハヤ,牡3,53.0,▲大木天翔,1:22.4,3,14,456.8,42.2,大井村上頼章,415(-2),202444012104,2024/01/21,1200,ダ,不
13,1,1,ジュレヴァー,牝3,54.0,藤田凌,1:22.8,2,5,25.9,42.6,大井高岩孝敏,438(-3),202444012104,2024/01/21,1200,ダ,不
14,7,11,ソウルレコード,牝3,54.0,吉井章,1:23.6,4,9,75.4,43.3,大井高橋清顕,435(-1),202444012104,2024/01/21,1200,ダ,不
1,7,11,ラージフィールド,セ4,56.0,藤本現暉,1:47.3,,3,3.6,42.1,大井小野寺晋,492(+2),202444012105,2024/01/21,1600,ダ,不
2,5,8,シルバーアッシュ,牡4,56.0,藤田凌,1:47.3,クビ,10,63.5,42.0,大井中道啓二,463(+9),202444012105,2024/01/21,1600,ダ,不
3,3,3,ブレストサンダー,牡4,56.0,森泰斗,1:47.4,クビ,2,3.4,41.6,大井松浦裕之,497(+5),202444012105,2024/01/21,1600,ダ,不
